상품코드,상품명,매입단가,매입단가 계산,매출단가,매출단가 계산,실매출단가,VAT
P00042,(신)알새우칠리새우맛,386,386,0,509.52,500,Y
P00043,(신)알새우칩,0,436,600,600,600,Y
P00044,(신)양파링,0,582,800,800,800,Y
P00045,(신)자갈치,386,386,0,509.52,500,Y
P00046,(신)쫄병스낵,386,386,0,509.52,500,Y
P00047,(신)코닥KL2CR5-1,0,8727,12000,12000,12000,Y
P00048,(신)허쉬드링크,0,582,800,800,800,Y
P00049,1000 다이제초코,0,727,1000,1000,1000,Y
P00050,1000도도한나초검은깨,591,591,1000,1000,1000,Y
P00051,1000바,655,655,0,864.6,860,Y
P00052,1000썬칩,591,591,0,780.12,780,Y
P00053,1000오잉,650,650,0,858,850,Y
P00054,1000이구동성베이컨,0,727,1000,1000,1000,Y
P00055,1000초코칩쿠키,622,622,0,821.04,820,Y
P00056,1000해바라기초코볼,591,591,0,780.12,780,Y
P00057,1200 ABC쵸코,709,709,0,935.88,930,Y
P00058,13000모자,5327,5327,0,7031.64,7030,Y
P00059,1500 몽셀,976,976,0,1288.32,1280,Y
P00060,1500 쵸코칩,976,976,0,1288.32,1280,Y
P00061,1500더블후레쉬자몽,0,1091,1500,1500,1500,Y
P00062,1500애니타임,0,1091,1500,1500,1500,Y
P00063,1500칙촉,0,1091,1500,1500,1500,Y
P00064,16000모자,6557,6557,0,8655.24,8650,Y
P00065,17차,0,1309,1800,1800,1800,Y
P00066,1800오뜨옐로우,1172,1172,0,1547.04,1540,Y
P00067,1800후레쉬베리,1121,1121,0,1479.72,1470,Y
P00068,2%부족할때DBH복숭아 500㎖펫,614,614,0,810.48,810,Y
P00069,2%부족할때pet(레몬맛),491,491,0,648.12,640,Y
P00070,2000목캔디,0,1455,2000,2000,2000,Y
P00071,22000모자,9016,9016,0,11901.12,11900,Y
P00072,3000드림카카오56%,1775,1775,0,2343,2340,Y
P00073,500 고래밥볶음양념,0,364,500,500,500,Y
P00074,500 돌아온왕꿈틀이,311,311,0,410.52,410,Y
P00075,500 투유,295,295,0,389.4,380,Y
P00076,5000모자,2049,2049,0,2704.68,2700,Y
P00077,5000화투,860,860,5000,5000,5000,Y
P00078,500가나,295,295,0,389.4,380,Y
P00079,500눈초코송이,0,364,500,500,500,Y
P00080,500목캔디,295,295,0,389.4,380,Y
P00081,500바,327,327,500,500,500,Y
